F, epochs, epsilon, B, weightcost, momentum, trRSME, vlRSME
4, 45, 0.01, 20, 0.001, 0.5, 0.966226208948, 1.23061043039
4, 46, 0.01, 20, 0.001, 0.5, 0.967908327704, 1.23266564422
4, 47, 0.01, 20, 0.001, 0.5, 0.96712291355, 1.22171931286
4, 48, 0.01, 20, 0.001, 0.5, 0.966587298796, 1.23865556521
4, 49, 0.01, 20, 0.001, 0.5, 0.964346023459, 1.23466771428
4, 1, 0.01, 10, 0.0005, 0.3, 1.16996310909, 1.20964792137
4, 2, 0.01, 10, 0.0005, 0.3, 1.13555040809, 1.18781415273
4, 3, 0.01, 10, 0.0005, 0.3, 1.09175749046, 1.15893401859
4, 4, 0.01, 10, 0.0005, 0.3, 1.07038505602, 1.15279820893
4, 5, 0.01, 10, 0.0005, 0.3, 1.05656250802, 1.15319941129
4, 6, 0.01, 10, 0.0005, 0.3, 1.05078004238, 1.15175635424
4, 7, 0.01, 10, 0.0005, 0.3, 1.04308296467, 1.15114858102
4, 8, 0.01, 10, 0.0005, 0.3, 1.039265421, 1.15894136137
4, 9, 0.01, 10, 0.0005, 0.3, 1.04027244193, 1.16987340067
4, 10, 0.01, 10, 0.0005, 0.3, 1.03843096348, 1.16926481955
4, 11, 0.01, 10, 0.0005, 0.3, 1.03243938534, 1.16503308951
4, 12, 0.01, 10, 0.0005, 0.3, 1.02673980485, 1.15877969235
4, 13, 0.01, 10, 0.0005, 0.3, 1.02725691639, 1.15000393959
4, 14, 0.01, 10, 0.0005, 0.3, 1.02755651426, 1.15408998478
4, 15, 0.01, 10, 0.0005, 0.3, 1.02866271607, 1.155380374
4, 16, 0.01, 10, 0.0005, 0.3, 1.02720672573, 1.15468087877
4, 17, 0.01, 10, 0.0005, 0.3, 1.02528592551, 1.15802774083
4, 18, 0.01, 10, 0.0005, 0.3, 1.02288114561, 1.16707828591
4, 19, 0.01, 10, 0.0005, 0.3, 1.01993578096, 1.17338019996
4, 20, 0.01, 10, 0.0005, 0.3, 1.01713230658, 1.18116927707
4, 21, 0.01, 10, 0.0005, 0.3, 1.02031032678, 1.18964656243
4, 22, 0.01, 10, 0.0005, 0.3, 1.01931697846, 1.19029231671
4, 23, 0.01, 10, 0.0005, 0.3, 1.0153658085, 1.1972114237
4, 24, 0.01, 10, 0.0005, 0.3, 1.01698353508, 1.1916582108
4, 25, 0.01, 10, 0.0005, 0.3, 1.01357448776, 1.1907998307
4, 26, 0.01, 10, 0.0005, 0.3, 1.01192177755, 1.19287207544
4, 27, 0.01, 10, 0.0005, 0.3, 1.00785455851, 1.19628876189
4, 28, 0.01, 10, 0.0005, 0.3, 1.00651598189, 1.1929922696
4, 29, 0.01, 10, 0.0005, 0.3, 1.00532316675, 1.20363900853
4, 30, 0.01, 10, 0.0005, 0.3, 1.00531184299, 1.19995149349
4, 31, 0.01, 10, 0.0005, 0.3, 1.00569540388, 1.20236303809
